File-id,New ASR Pred
SI12BD-00159-P40018,"factories, vehicles and others can create create the pollution. This pollution is for example acid particles in the smoke. These acid particles are spread by the wind over a big territory. These particles can fall as a dust or can mix with other particles in the clouded water. These particles acid particles can fall in rain or snow. These fall provoke a big damage to the environment, could affect can affect for example lakes or rivers, killing fishes and other aquatic animals or affect trees and forests etc and killing the wildlife."
SI127E-01947-P30017,": From a point of view, the disadvantages of studying while you're a student is that you become independent, because you make your own money, you start making your own decisions. However, one of the disadvantages I find is that some students might feel stressed, They might experience anxiety, which is obviously harmful and well actually not for their performance at school, personal relationships. So in my opinion, as long as students get a very an, optimal organization, only by doing so will they be able to work. At the same time they are doing well other their studies. but they need to be responsible and fine."
SI127E-01847-P10005,": My favorite part of the year is autumn because of the colors and the weather and then after that, I would say Christmas because I love the festivities, traditions and spending time with my family and friends."
SI127E-00799-P40018,": OK, the step that you need to do if you want to travel by your airplane are first you need to go to the airport, you can go in the Metro, you can oh no you can go by your own car or maybe in the bus the public transport finally and then you enter in the airport and you need to do your checking here in the company and maybe if you travel to a different countries that are not inside the European Union, the police requires you your document to document and there are also some security system time which you need to bus your staff. Finally you need to wait until the time that they are applying."
SI12BD-00022-P50019,"Technology can be a very useful tool for studying. You can use devices as mobile tablets, laptops, laptops and there you can have different programs, websites, information, videos, videos about different topics, and even video games."
SI1267-00512-P10006,I am keen on dancing so the activity I love the most is absolutely dancing in addiction I like to spend time my free time with my friends and may going to the cimama just hanging out and also with my family as they love me and I always feel comfortable
SI1267-00428-P10006,I am on holiday I prefer to go to the beach but if I just have a weekend for a holiday I prefer to meet a new city and/ or a new country and just go for museums and
SI1267-00638-P30017,: I think that um make um fitness classes in the school have many advantages like um if the students they do sport signs they will they be a child um they feel so healthy so healthy and but there are so many disadvantages too like if you have if the students have fitness classes in a school at school they haven't enough time to another classes in my opinion the sport is so important and this is good for the students
SI114J-00311-P10007,Um i spend to for me to spend with my child is the most um uh good time to spend with
SI127E-01241-P50021,I think it is not necessary doing exercise every day but you can exercise three days a week if you feel better you can exercise more days a week about five or six.
SI137O-00814-P30017,i think it's very important for the university student take the part-time jobs because the advantage it's to have more experience about of the different the the reality of the on the life but i think also the disadvantage it's maybe the time because the the most important part for the students is the studies the studies is the priority for the for the students and sometimes maybe if the students work it's uh really complicated to have more time for to study in the library or in because sometimes the students uh
SI137O-00353-P30017,"When students they are studying university and they know they want to do part-time jobs, this is very good for them. They can earn a salary to provide their fees and university fees. The disadvantage is that one the disadvantages are those ones they will not have time to to study their sessions in the best way and they will be busy with their job and they will not be able to study their lesson well. This is the disadvantage one of the disadvantages of studying university inside of it doing part-time jobs. It is my point of view about this topic."
SI127E-00765-P10007,: I think that to improve my English it's to read some books or to take notes or some extra classes because currently I take business communication at the technology in Monterrey but I need more.
SI12BD-00144-P10007,"- Watching TV series, reading books is useful, but I think going to academy helps me a lot, improving my language."
SI131R-00619-P10007,and another the member of my family that is more similar to me is my mother because like to work a lot and cookie and cook very well for this i think that i see my mother because i like i like cooking
SI137O-00674-P50022,"- We have an idioms in Arabic language. It says:Sleep early, wake up early, and look at healthy, how will be. So I think it's so important to sleep for eight hours and sleep early."
SI128D-00076-P50023,"From my point of view, becoming independent is difficult but necessary because you achieve a lot of skills that you need when you will..."
SI127E-00617-P50019,"Well, I think that a good advice is that you have to be honest with yourself, you have to be working hard, and you have to create habits habits like drinking good food, eating good food, drinking water, doing exercise, sleep well, and don't use that technology very much."
SI131R-00463-P10005,We're interested in the environment and also in the animals.
SI131R-00463-P10006,would like to join us to read a book and also for making some sports.
