File-id,New ASR Pred
SI12BD-00159-P40018,"Factories, vehicles, and others can create the pollution. This pollution is for example acid particles in the smoke. These acid particles are spread by the wind over a big territory. These particles can fall as a dust or can mix with other particles in the cloud water. This."
SI127E-01947-P30017,"- From a point of view, the advantages of studying while you're a student is that you become independent because you make your own money, you start making your own decisions. However, one of the disadvantages I find is that some students might feel stressed, they might experience anxiety, which is obviously harmful and well actually noted for their performance at school, at personal"
SI127E-01847-P10005,my third my third part of the year is autumn because of the colors and the weather and then after that i would say christmas uh because i love uh the festivities uh traditions and um spending time with my family and friends
SI127E-00799-P40018,"OK, the step that you need to do you want to travel by your plane are first you need to go to the airport you can go in the Metro you can I know you can go by your own car or maybe in the bus the public transport finally and then you enter in the airport and you need to do your checking here in in the company"
SI12BD-00022-P50019,"Technology can be a very useful tool for studying. You can use devices as mobile tablets, laptops, laptops, and there in there you can have different programs websites information videos videos about different topics and even even video games."
SI1267-00512-P10006,I'm keen on dancing so the activity i love the most is absolutely dancing in addiction I like to spend time my free time with my friends and maybe going to the cima or just hanging out and also with my family as they love me and I always feel comfortable.
SI1267-00428-P10006,I prefer to go to the beach but if I just have a weekend for a holiday I prefer to meet a new city and or a new country and just go for museums and
SI1267-00638-P30017,I think that um make um fitness classes in the school have many advantages like um if the students they do sport signs they will they be a child um they feel so healthy so healthy and but um there are so many
SI114J-00311-P10007,um i spend to for me to spend with my child is the most um uh good time to spend with
SI127E-01241-P50021,"I think it is not necessary doing exercise every day, but you can exercise three days a week and If you feel better, you can exercise more days a week about five or six."
SI137O-00814-P30017,i think it's very important for the university student take the part-time jobs because the advantage it's to have more experience about of the different the the reality of the on the life but i think also the disadvantage it's
SI137O-00353-P30017,When students they are part they are studying university and they know they want to do part-time jobs. This is very good for them. They can earn a salary to provide their peace and university peace. The disadvantages that is that one that disadvantages are those ones. They will not have time to study their sessions and the best.
SI127E-00765-P10007,"I think that to uh to improve my English it's to read some books or to take notes or to extra classes because currently I take business communication at the technology in Monterrey, but I need more."
SI12BD-00144-P10007,"Watching TV series reading books is useful, but I think going to academy helps me a lot, improving my language."
SI131R-00619-P10007,and another member of my family that is more similar to me is my mother because i like to work a lot and cookie and cook very well for this i think that i see my mother because i like cooking
SI137O-00674-P50022,"We have an idioms in Arabic language. It says, ""Sleep early, wake up early, and look at healthy how will be so I think it's so important to sleep for eight hours and sleep early."""
SI128D-00076-P50023,"From my point of view, becoming independent is is difficult but necessary because you achieve a lot of skills that you need when you you will."
SI127E-00617-P50019,"Well, I think that a good advice is that you have to be honest with yourself, you have to be working hard, and you have to create habits habits like drinking good food, eating good food, drinking water, doing exercise, sleep well, and don't use that technology very much."
SI131R-00463-P10005,We're interested in the environment and also in the animals.
SI131R-00463-P10006,I would like to join us to read a book and also for making some sports.
